experiment_id,hidden_1,hidden_2,activation,dropout_rate,learning_rate,batch_size,epochs_requested,epochs_ran,train_mae,train_rmse,val_mae,val_rmse,test_mae,test_rmse,training_time_sec
9,128,32,relu,0.1,0.001,64,20,4,11.46775913,33.59276343,12.53667206,33.8935388,12.48626518,33.96287215,197.2362833
5,64,64,relu,0.1,0.001,64,20,5,10.48994255,31.10460414,12.53695965,33.2473584,12.52070999,33.35664692,244.4904583
14,128,64,relu,0.1,0.001,128,20,5,10.50079441,31.65193856,12.5420723,33.58162935,12.51571274,33.69257992,126.1166205
13,128,64,relu,0.1,0.001,64,20,4,11.39303589,33.04005544,12.54675961,33.57490205,12.4743576,33.58854974,198.6880503
6,64,64,relu,0.1,0.001,128,20,5,10.63110161,31.93189335,12.6032486,33.67708595,12.56931114,33.78036828,123.0428865
10,128,32,relu,0.1,0.001,128,20,5,10.62218761,31.89960467,12.62852669,33.78015146,12.59415722,33.85644023,126.8953671
1,64,32,relu,0.1,0.001,64,20,5,10.56217766,31.70589237,12.63768578,33.73516203,12.60072994,33.79132489,266.6221147
2,64,32,relu,0.1,0.001,128,20,5,10.67390537,32.30659664,12.66973782,33.93679859,12.63809013,34.04818005,126.4258027
7,64,64,tanh,0.1,0.001,64,20,5,11.82946491,38.3768656,13.15465355,37.77957309,13.14137745,37.98254154,248.6164453
15,128,64,tanh,0.1,0.001,64,20,5,11.83467102,38.53582286,13.2121563,37.9873588,13.19575214,38.16276466,249.0469141
8,64,64,tanh,0.1,0.001,128,20,5,11.80024242,39.45465962,13.22738171,38.85917867,13.23038578,39.04056103,123.938417
16,128,64,tanh,0.1,0.001,128,20,5,12.01276112,39.56871218,13.30817032,38.87330118,13.29894543,39.043758,127.5908372
3,64,32,tanh,0.1,0.001,64,20,5,12.05098629,40.05372064,13.41650295,39.36706269,13.39621639,39.50538154,240.1714427
4,64,32,tanh,0.1,0.001,128,20,6,11.89248085,40.11118885,13.50171566,39.60798352,13.50187778,39.76894939,149.1204228
11,128,32,tanh,0.1,0.001,64,20,5,12.17080975,40.34999921,13.51168728,39.63039537,13.50201511,39.82199621,250.1102669
12,128,32,tanh,0.1,0.001,128,20,6,12.20830822,40.30814384,13.69409561,39.72608391,13.6840477,39.88905819,166.0968788
